imo,name,dwt
9924912,GC BERYL,19900
9378632,POSEIDON BAY,109996
9379210,SHENLONG SPIRIT,159021
9379208,JIAOLONG SPIRIT,159021
9379131,ATLANTICA BAY,46763
9379129,ATLANTICA BREEZE,46846
9378929,ATLANTIC MERCHANT,13652
9378876,SAMURAI,149993
9378735,STEN BOTHNIA,16611
9378723,STEN SUOMI,16670
9378682,SUPERSPEED 2,5400
9378620,POLARIS BAY,99997
9380374,RIDGEBURY MERCURY,46938
9378618,PIONEER BAY,109996
9378448,EURODAM,9125
9378395,THE GUARDIAN,82050
9378371,FANTASIA,51434
9378369,TIANLONG SPIRIT,159021
9378321,SONGA CRYSTAL,12927
9378307,CORAL FURCATA,10422
9378292,CORAL FUNGIA,10441
9378280,CORAL FAVIA,10446
9379301,ALPINE PENELOPE,74401
9379313,NAVE PULSAR,50922
9379325,PS LONDON,50922
9379337,ICE POINT,50922
9380350,SKY,37879
9380104,MITERA,47370
9380099,PLATYTERA,47401
9380075,MINERVA OCEANIA,47402
9380063,MINERVA EMILY,47408
9379985,GINGA PANTHER,26083
9379973,CYPRESS GALAXY,20758
9379935,MAIPO  RIVER,33157
9379909,BOW HARMONY,33619
9379844,MTM HAMBURG,20564
9379674,MEGA MAGGIE,31922
9379662,ESRA C,31890
9379650,PALAWAN,32029
9379648,POLLUX,32017
9379624,FOS PICASSO,115760
9379612,FOS DA VINCI,115878
9379387,CLAIRE A,22028
9379351,VENTO DI TRAMONTANA,22030
9379349,MICHEL A,22014
9378278,CORAL FRASERI,10441
9378254,JOY EXPRESS,8378
9378230,BBC ADRIATIC,6042
9376945,STAR I,37900
9376854,DOMINIA,40174
9376828,NORD SNOW QUEEN,38289
9376816,SUNNY SKY,38431
9376725,PEREGRINE,14538
9376713,VESPERTINE,14483
9376701,PALATINE,14565
9376696,MAZARINE,14552
9376658,STOLT HALCON,12273
9376505,TRINA,11940
9376490,ANNE-SOFIE,12007
9376488,FRAUKE,12007
9376361,OKINAWA,81397
9376359,MARIELENA,81354
9376050,WILHELM,11255
9376048,HANNA,11408
9376036,RUTH,11253
9376024,MISTRAL,11254
9376000,UBC SANTOS,31568
9375953,SEASTAR TRADER,30487
9376892,CMA CGM NOUADHIBOU,16509
9377195,ARDENZA,15994
9378163,CLIPPER HERMOD,18861
9377200,DIVINA,15994
9378151,CLIPPER HERMES,18880
9378022,RHL AUGSBURG,8132
9378008,DARLING RIVER,33098
9377846,HC OPAL,11185
9377779,MONTEREY,105009
9377717,SHIMANAMI STAR,28447
9377688,MEDI BANGKOK,53466
9377664,SINGLE,37824
9377652,SILENT,37847
9377559,GH FOEHN,38080
9377523,TIRRANNA,29936
9377511,TIJUCA,30089
9377509,OBERON,30134
9377494,ANIARA,30089
9377482,GRANDE CAMEROON,26652
9377418,ALEXANDER THE GREAT,297958
9377248,TOKYO,43538
9377236,DENVER,43563
9377224,HELSINKI,43601
9380362,CITRON,46938
9380386,MINERVA JOANNA,46968
9375915,CYMONA GALAXY,81383
9383596,LANTAU BAY,12829
9384033,SEAWAYS NANTUCKET,51225
9384019,SEAWAYS LORAIN,51218
9383974,ATLANTIC CANYON,36677
9383962,ATLANTIC JUPITER,36677
9383895,CENTRAL,49999
9383869,SARASOTA A,106850
9383857,EVANGELISTRIA,75750
9383730,BALAT,10975
9383651,BOMAR SEDNA,8026
9383560,CIUDAD DE CADIZ,3500
9380415,DUZGIT INTEGRITY,10736
9383558,CITY OF HAMBURG,3546
9383508,VIGOR SW,32228
9383443,BARBARICA,18818
9383431,MORNING LUCY,28080
9383429,MORNING LYNN,28092
